day,A,E,H,I,R,S,V,R_t
203.0,1.5973296,6.0997853,37.875366,6.19903,121.66546,9339.361,2040.0464,2.3250525397436324
204.0,1.6008186,6.0601444,37.88994,6.2819686,123.4902,9329.588,2047.9329,2.3226195972657004
205.0,1.6157414,6.0873246,38.632492,6.298524,125.06029,9320.59,2054.559,2.3203796205068654
206.0,1.6298167,6.118206,38.868828,6.3067102,125.43963,9303.211,2052.4995,2.319822071934361
207.0,1.6279072,6.2172556,39.359802,6.331607,126.01711,9290.493,2082.7969,2.3128869056869696
208.0,1.6507627,6.256644,39.139465,6.348664,126.801476,9291.93,2080.7168,2.31324457676391
209.0,1.6387912,6.2102776,39.549065,6.405487,125.91097,9272.257,2100.8723,2.3083469312725486
210.0,1.6599234,6.2696643,39.80968,6.5011134,128.88115,9264.371,2092.1768,2.3090168623421765
211.0,1.6759497,6.2986107,40.3773,6.490592,128.06229,9243.284,2116.1655,2.3032253224877723
212.0,1.6731058,6.329369,40.46483,6.5721188,130.63345,9250.545,2116.6265,2.3029416033144905
213.0,1.6840694,6.395259,41.018597,6.5747795,130.67474,9229.329,2137.1667,2.2976600743714073
214.0,1.7084717,6.4093246,41.32814,6.6358595,131.25385,9220.943,2133.3435,2.2978041876078166
215.0,1.7030318,6.4661202,41.59909,6.6213503,132.53728,9183.015,2146.0212,2.2930532228419436
216.0,1.7141042,6.512083,42.0184,6.621527,133.48724,9194.546,2167.9443,2.2890006678186805
217.0,1.7394015,6.5512204,42.442917,6.7088675,134.37903,9198.308,2149.457,2.2925680000033526
218.0,1.7510297,6.5776167,42.706997,6.7727485,134.91508,9174.88,2170.5266,2.2870175030598467
219.0,1.7595704,6.6480417,43.09778,6.80895,136.16983,9157.691,2196.3896,2.2806702687496023
220.0,1.7626828,6.6442475,42.921127,6.8262897,137.14452,9148.621,2200.7903,2.279172161974874
221.0,1.7573336,6.6547832,43.49834,6.8903317,137.72086,9136.686,2208.2654,2.276837220088768
222.0,1.7866352,6.6863766,44.030956,6.9112773,138.5944,9101.358,2216.9868,2.272980478005051
223.0,1.7961622,6.7437825,44.311996,6.952215,139.45096,9113.607,2239.981,2.268850890601216
224.0,1.7889508,6.769951,44.452007,6.987037,139.58052,9100.611,2252.1223,2.2657197009063066
225.0,1.8123429,6.855195,44.6475,7.0344024,140.29668,9088.427,2262.4028,2.2628500215942653
226.0,1.8276458,6.7966285,45.497845,7.1095595,141.54149,9083.867,2266.2031,2.2614470021909545
227.0,1.8419714,6.8691864,45.640266,7.0893397,143.00343,9066.361,2271.3838,2.2591723180208665
228.0,1.8373775,6.9388947,45.859535,7.169757,143.92307,9049.118,2276.757,2.256945499244161
