week,S,I,W,V,P,C,Q,R,R_t
197.0,0.0,11.707401,1.6354309,55.579124,0.0,4.2104735,1.8766314,3063.6567,0.0
198.0,19.559523,0.0,1.3630005,55.407337,0.0,1.082079,1.8247666,3047.2844,0.08721543988403217
199.0,0.0,3.3693388,0.0,55.42632,0.0,5.7722635,1.3032237,3046.8381,0.0
200.0,2.1723368,0.0,0.0,55.335964,0.0,7.02497,0.29991618,3056.888,0.009697062183325146
201.0,2.736955,0.0,0.0,55.455853,0.0,8.273214,0.0,3056.9966,0.012210640812020277
202.0,0.0,16.34944,0.0,55.121315,0.0,9.920439,0.0,3044.0107,0.0
203.0,0.0,9.430799,0.08209992,55.49139,0.0,2.9332883,1.6915025,3074.0654,0.0
204.0,17.153555,6.7012367,0.0,55.443703,0.0,4.6884613,0.0,3007.401,0.07732283434587114
205.0,0.0,0.0,0.0,55.4773,0.0,5.173178,0.0,3059.569,0.0
206.0,0.0,1.9320835,0.0,55.37121,0.0,4.590074,0.0,3069.8323,0.0
207.0,0.0,4.0030184,0.0,55.276646,0.0,1.1896131,0.9085533,3056.8794,0.0
208.0,1.5875016,0.0,0.0,55.561214,0.0,1.929385,2.1659524,3043.17,0.007125932030381375
209.0,3.366129,5.94495,2.727139,55.58107,0.0,5.935727,3.5930781,3046.187,0.015031373072041136
210.0,0.0,0.0,0.0,55.52841,0.0,5.1234245,0.0,3065.104,0.0
211.0,0.0,0.0,1.6740946,55.537796,0.0,8.000781,0.98309135,3061.7954,0.0
212.0,1.126949,0.0,1.4806057,54.98127,0.0,0.0,0.29816452,3036.3906,0.005077617114499846
213.0,4.7091665,3.819156,0.67979604,55.511868,0.0,7.5272837,0.1270536,3042.185,0.021074115476390532
214.0,7.662374,5.4946136,0.0,55.253654,0.0,5.3726516,0.13534094,3048.2114,0.03419947804142819
215.0,17.602709,0.0,0.0,55.27518,0.0,5.4603357,0.96549135,3054.784,0.07826642340054739
216.0,4.5024786,0.0,0.34938976,55.55949,0.0,3.466731,1.8375988,3065.8806,0.02003740440996982
217.0,2.8021395,6.095514,0.0,55.689644,0.0,2.4970891,0.0,3052.8577,0.012515561797656295
218.0,17.32676,0.81710124,0.0,55.20901,0.0,3.6563163,0.0,3048.1611,0.0772593008041093
219.0,0.0,0.0,0.0,55.420036,0.0,0.0,0.0,3010.7476,0.0
220.0,3.4911048,0.0,2.9545815,55.554466,0.0,3.4288204,0.0,3067.9092,0.015540767282474551
221.0,0.0,3.7684953,0.0,55.636406,0.0,1.4097933,1.0537267,3054.9087,0.0
222.0,11.71617,3.9631732,1.882677,55.340244,0.0,6.1417,0.0,3048.369,0.05223590221573598
223.0,8.957049,6.808791,0.0,55.196064,0.0,7.5034733,0.0,3038.471,0.04004461836763915
224.0,20.00632,0.0,0.0,55.835148,0.0,7.6428423,0.0,3078.5115,0.08816842166490343
