week,S,I,Q,R,R_t
182.0,373.9761,0.12874675,0.0,734.9989,0.6346978264215688
183.0,373.62555,0.0,0.0,735.9427,0.6338374308477229
184.0,372.93646,0.0,0.0,735.95605,0.6330539546290995
185.0,373.01297,0.0,0.0,733.7782,0.6343859851032243
186.0,374.3498,0.0,0.0016333141,736.6451,0.6342496489668227
187.0,372.28375,0.088371515,0.0,733.3646,0.6337495612436035
188.0,371.64984,0.20640567,0.0,735.51465,0.6317368038327908
189.0,372.34732,0.07479473,0.0,734.8386,0.6329853580722659
190.0,373.85956,0.0,0.0047663357,733.1068,0.6357224134810919
191.0,372.5801,0.0,0.0,735.6546,0.6328244475017201
192.0,373.95496,0.0,0.040736344,734.9894,0.6347298534907814
193.0,375.31784,0.0,0.0100005865,737.23596,0.634993989889882
194.0,373.26706,0.048632313,0.034951597,737.68195,0.6323946678289304
195.0,370.9604,0.00444202,0.017258145,736.35345,0.630584990764621
196.0,373.69064,0.18956985,0.005581336,736.1371,0.6336882078376394
197.0,371.78802,0.0,0.042347703,734.1839,0.6327468596076465
198.0,371.29718,0.0,0.012321161,735.75464,0.6313122256418969
199.0,370.62344,0.07676305,0.0060494123,735.9795,0.6303821423183245
200.0,372.36603,0.13699214,0.0,736.8095,0.6318463279582939
201.0,372.56992,0.04320798,0.052069563,735.74567,0.6327065690090673
202.0,374.47144,0.0,0.036343668,735.24365,0.635167566613109
203.0,373.3567,0.0,0.0,737.5429,0.6326222461434443
204.0,370.2486,0.0,0.0,735.4691,0.6302959057375804
205.0,371.3909,0.0,0.040050887,735.4207,0.6315927947051523
206.0,370.96185,0.006395913,0.0,735.3943,0.6311420602930801
207.0,371.93176,0.0,0.030549383,734.36316,0.6328134322781883
208.0,372.17444,0.124173075,0.0,735.77527,0.6322271706877086
209.0,373.23035,0.075143486,0.007723071,735.33105,0.6336946847334424
210.0,371.13113,0.0,0.00052214443,735.08966,0.6315106771214206
211.0,373.21677,0.0,0.0,734.0659,0.6344508291926693
212.0,370.59763,0.0,0.0044886568,736.3685,0.6301760019697235
213.0,372.73895,0.17186153,0.0057618394,735.7303,0.632858883459669
214.0,372.58456,0.0,0.012685506,736.5223,0.6323271639496082
215.0,372.54266,0.0,0.03873748,734.84235,0.6332242164173483
216.0,374.4808,0.054387894,0.0,734.91547,0.6353556565789699
217.0,373.0096,0.055226173,0.0,735.2368,0.6335156887491269
218.0,372.1619,0.12723659,0.0,735.0346,0.6326341428095921
219.0,373.6463,0.0,0.0,735.21893,0.6342745006925418
220.0,372.97495,0.0,0.0,735.33875,0.6334499306685417
221.0,371.21634,0.26779696,0.024461113,735.3123,0.6313134743456973
222.0,373.16965,0.10818708,0.0,737.11597,0.6325933401700925
223.0,372.0914,0.0025351928,0.0,734.317,0.6330361313935623
224.0,372.25583,0.12498522,0.0,732.9378,0.633941747955371
225.0,372.13174,0.12602392,0.0,735.07117,0.6325799204874714
226.0,373.58777,0.0,0.0,736.1057,0.6337018076172307
227.0,372.0395,0.16161142,0.0,735.05945,0.6324621578125272
228.0,372.66727,0.039585445,0.010316677,736.1806,0.6325940014937054
229.0,372.90106,0.0,0.01670984,735.96313,0.633000490731318
230.0,374.20422,0.027387206,0.040990938,737.3071,0.6336703669416978
231.0,372.12442,0.07599752,0.0,735.65063,0.632269348584128
232.0,372.2858,0.0,0.003589928,732.78986,0.6341301151696214
233.0,372.88907,0.0,0.074167736,733.6893,0.634254726292608
234.0,372.90088,0.0932866,0.0,735.47595,0.6332347640273273
235.0,374.71866,0.0,0.0,733.53503,0.6364458567926886
236.0,371.6957,0.0,0.0006804059,733.4393,0.6330926728237314
237.0,373.11295,0.0,0.0,736.65173,0.6328557808031058
238.0,371.83102,0.11989485,0.0,734.01996,0.63284486956582
239.0,374.43573,0.08980778,0.0,735.00494,0.6352334779623766
240.0,371.09622,0.0,0.021809926,733.9566,0.6321064968134128
241.0,371.89377,0.10087072,0.0,733.7416,0.6330859842889487
242.0,372.26535,0.028485138,0.000632774,734.18134,0.6332949511851212
243.0,370.71442,0.25171176,0.0117787905,735.6672,0.6305600457085841
244.0,372.50327,0.102033526,0.014075454,734.9546,0.6330713766527366
245.0,372.26492,0.0,0.0,736.637,0.6319086532027708
246.0,374.17767,0.0,0.0009474657,734.7333,0.6351497907622136
247.0,371.8508,0.13034898,0.0022568104,734.26544,0.6327195018011196
248.0,372.35358,0.027238699,0.0037722834,736.24506,0.6322143872820318
249.0,372.12164,0.0251532,0.0035626478,734.68463,0.6328450419530692
250.0,372.6302,0.0,0.03770264,736.02985,0.6326451844942619
