day,S,I,R,H,W,P,A,Q,R_t
1554.0,1344.44287109375,0.0,0.5437911748886108,0.0,0.00022648315643891692,0.0,0.0,5.368758593249368e-07,5.061930188415724
1555.0,1344.4438302176338,0.0,0.5429092986243111,1.6830987397448943e-09,0.00019412841980478594,0.0,0.0,4.6017930799280293e-07,5.061933509145851
1556.0,1344.444789341518,0.0,0.5420274223600116,3.3661974794897885e-09,0.00016177368317065496,0.0,0.0,3.834827566606691e-07,5.061936829875977
1557.0,1344.4457484654017,0.0,0.5411455460957119,5.049296219234683e-09,0.00012941894653652395,0.0,0.0,3.067862053285353e-07,5.0619401506061035
1558.0,1344.4467075892858,0.0,0.5402636698314122,6.732394958979577e-09,9.706420990239297e-05,0.0,0.0,2.3008965399640147e-07,5.061943471336229
1559.0,1344.4476667131696,0.0,0.5393817935671125,8.41549369872447e-09,6.470947326826199e-05,0.0,0.0,1.5339310266426764e-07,5.0619467920663554
1560.0,1344.4486258370537,0.0,0.5384999173028129,1.0098592438469365e-08,3.235473663413098e-05,0.0,0.0,7.669655133213382e-08,5.061950112796482
1561.0,1344.4495849609375,0.0,0.5376180410385132,1.178169117821426e-08,0.0,0.0,0.0,0.0,5.061953433526608
1562.0,1344.450718470982,0.0001874687316428338,0.5375130261693682,1.1095229687388804e-08,0.0,0.0,0.0,4.569361777839731e-09,5.061953124898972
1563.0,1344.4518519810267,0.0003749374632856676,0.5374080113002232,1.040876819656335e-08,0.0,0.0,0.0,9.138723555679462e-09,5.0619528162713365
1564.0,1344.4529854910713,0.0005624061949285014,0.5373029964310783,9.722306705737895e-09,0.0,0.0,0.0,1.3708085333519193e-08,5.0619525076437
1565.0,1344.4541190011162,0.0007498749265713352,0.5371979815619332,9.03584521491244e-09,0.0,0.0,0.0,1.8277447111358924e-08,5.061952199016064
1566.0,1344.4552525111608,0.0009373436582141689,0.5370929666927883,8.349383724086986e-09,0.0,0.0,0.0,2.2846808889198655e-08,5.0619518903884275
1567.0,1344.4563860212054,0.0011248123898570028,0.5369879518236432,7.66292223326153e-09,0.0,0.0,0.0,2.7416170667038386e-08,5.061951581760792
1568.0,1344.45751953125,0.0013122811214998364,0.5368829369544983,6.976460742436075e-09,0.0,0.0,0.0,3.198553244487812e-08,5.061951273133156
1569.0,1344.4565255301338,0.0011248123898570026,0.5360623938696725,7.412133637022375e-09,0.0,0.0,0.0,4.89017043544696e-06,5.0619550470865775
1570.0,1344.455531529018,0.0009373436582141689,0.5352418507848468,7.847806531608675e-09,0.0,0.0,0.0,9.748355338449041e-06,5.06195882104
1571.0,1344.4545375279017,0.000749874926571335,0.5344213077000209,8.283479426194975e-09,0.0,0.0,0.0,1.4606540241451122e-05,5.061962594993422
1572.0,1344.4535435267858,0.0005624061949285013,0.5336007646151951,8.719152320781274e-09,0.0,0.0,0.0,1.9464725144453204e-05,5.061966368946844
1573.0,1344.4525495256696,0.0003749374632856675,0.5327802215303693,9.154825215367575e-09,0.0,0.0,0.0,2.4322910047455286e-05,5.0619701429002655
1574.0,1344.4515555245537,0.00018746873164283365,0.5319596784455436,9.590498109953875e-09,0.0,0.0,0.0,2.9181094950457365e-05,5.061973916853688
1575.0,1344.4505615234375,0.0,0.5311391353607178,1.0026171004540174e-08,0.0,0.0,0.0,3.403927985345945e-05,5.06197769080711
1576.0,1344.4517473493304,0.0,0.5309099384716579,8.593860861034436e-09,0.0,0.0,2.5769764241496368e-05,2.9426810426360005e-05,5.061978475550268
