day,S,I,P,R_t
298.0,6610.617353166853,12085.140311104911,0.0,34.08202526340895
299.0,7668.040352957589,11001.943516322544,0.0,39.53372749749946
300.0,8725.463352748326,9918.746721540178,0.0,44.985429731589974
301.0,9782.886352539062,8835.549926757812,0.0,50.437131965680486
302.0,8724.77031162807,9872.536830357143,0.0,44.98185665456747
303.0,7666.6542707170765,10909.523733956474,0.0,39.52658134345447
304.0,6608.538229806081,11946.510637555804,0.0,34.071306032341454
305.0,5550.42218889509,12983.497541155133,0.0,28.61603072122844
306.0,4492.306147984095,14020.484444754466,0.0,23.160755410115428
307.0,3434.1901070731024,15057.471348353796,0.0,17.705480099002422
308.0,2376.0740661621094,16094.458251953125,0.0,12.250204787889407
309.0,3559.5862497602193,14970.077933175224,0.0,18.351978644399072
310.0,4743.098433358329,13845.697614397322,0.0,24.453752500908735
311.0,5926.610616956437,12721.31729561942,0.0,30.5555263574184
312.0,7110.122800554549,11596.936976841518,0.0,36.65730021392807
313.0,8293.634984152659,10472.556658063615,0.0,42.759074070437734
314.0,9477.147167750767,9348.176339285714,0.0,48.86084792694739
315.0,10660.659351348877,8223.796020507812,0.0,54.96262178345706
316.0,9414.200874328613,9467.626081194197,0.0,48.53631890824326
317.0,8167.74239730835,10711.45614188058,0.0,42.11001603302945
318.0,6921.283920288087,11955.286202566964,0.0,35.68371315781565
319.0,5674.825443267821,13199.116263253349,0.0,29.25741028260185
320.0,4428.366966247559,14442.946323939734,0.0,22.831107407388046
321.0,3181.908489227295,15686.776384626119,0.0,16.404804532174246
322.0,1935.4500122070312,16930.6064453125,0.0,9.978501656960438
323.0,2722.432137625558,16124.124616350447,0.0,14.035905564557094
324.0,3509.414263044085,15317.642787388393,0.0,18.09330947215375
325.0,4296.396388462611,14511.160958426339,0.0,22.150713379750407
326.0,5083.378513881139,13704.679129464286,0.0,26.208117287347065
327.0,5870.360639299665,12898.197300502232,0.0,30.265521194943723
328.0,6657.3427647181925,12091.71547154018,0.0,34.322925102540374
329.0,7444.324890136719,11285.233642578125,0.0,38.38032901013703
330.0,7474.034737723214,11296.60426548549,0.0,38.53350256744926
331.0,7503.744585309711,11307.974888392857,0.0,38.6866761247615
332.0,7533.454432896206,11319.345511300224,0.0,38.83984968207373
333.0,7563.164280482701,11330.716134207589,0.0,38.993023239385955
334.0,7592.874128069196,11342.086757114956,0.0,39.146196796698185
335.0,7622.5839756556925,11353.457380022322,0.0,39.29937035401042
336.0,7652.2938232421875,11364.828002929688,0.0,39.45254391132265
337.0,7461.348411015102,11538.238333565849,0.0,38.46809631501186
338.0,7270.402998788016,11711.648664202008,0.0,37.483648718701076
339.0,7079.45758656093,11885.05899483817,0.0,36.49920112239029
340.0,6888.512174333845,12058.46932547433,0.0,35.51475352607951
341.0,6697.56676210676,12231.879656110492,0.0,34.53030592976872
342.0,6506.621349879673,12405.289986746651,0.0,33.545858333457936
343.0,6315.675937652588,12578.700317382812,0.0,32.56141073714715
344.0,6579.260770729609,12334.447666713171,0.0,33.9203617185829
345.0,6842.845603806632,12090.195016043526,0.0,35.27931270001866
346.0,7106.430436883654,11845.942365373885,0.0,36.638263681454404
347.0,7370.015269960676,11601.689714704242,0.0,37.99721466289016
348.0,7633.600103037698,11357.437064034599,0.0,39.35616564432591
349.0,7897.184936114721,11113.184413364954,0.0,40.71511662576167
350.0,8160.769769191742,10868.931762695312,0.0,42.07406760719742
351.0,7721.882005010332,11269.55385044643,0.0,39.81131617756494
352.0,7282.994240828923,11670.175938197544,0.0,37.54856474793246
353.0,6844.106476647513,12070.798025948661,0.0,35.28581331829998
354.0,6405.218712466104,12471.420113699776,0.0,33.0230618886675
355.0,5966.3309482846935,12872.042201450891,0.0,30.76031045903502
356.0,5527.443184103285,13272.664289202008,0.0,28.497559029402538
357.0,5088.555419921875,13673.286376953125,0.0,26.234807599770058
358.0,5757.525124958584,13026.749616350446,0.0,29.68378084530113
359.0,6426.49482999529,12380.212855747768,0.0,33.1327540908322
360.0,7095.464535032,11733.676095145089,0.0,36.58172733636327
361.0,7764.434240068708,11087.139334542411,0.0,40.03070058189435
362.0,8433.403945105416,10440.602573939732,0.0,43.479673827425415
363.0,9102.373650142126,9794.065813337054,0.0,46.928647072956494
364.0,9771.343355178833,9147.529052734375,0.0,50.377620318487565
365.0,8706.985719408309,10229.618896484375,0.0,44.89016553270199
366.0,7642.628083637782,11311.708740234375,0.0,39.402710746916426
367.0,6578.270447867258,12393.798583984375,0.0,33.91525596113085
368.0,5513.9128120967325,13475.888427734375,0.0,28.42780117534528
369.0,4449.555176326207,14557.978271484375,0.0,22.940346389559707
370.0,3385.197540555682,15640.068115234375,0.0,17.45289160377414
