day,S,I,A,W,Q,V,C,E,R,P,R_t
886.0,1162.4096156529017,0.0117684147719826,0.023133078856127604,0.008440656321389335,0.00015665775780299946,1587.8748779296875,0.0,0.012147429931376661,5.372702530452183,0.0,5.141532870374475
887.0,1168.2400774274554,0.007845609847988398,0.015422052570751736,0.010550820401736669,0.00010443850520199964,1578.7581787109375,0.0,0.012226499351007598,5.311040197099958,0.0,5.173548695588926
888.0,1174.0705392020088,0.003922804923994199,0.0077110262853758715,0.012660984482084001,5.2219252600999846e-05,1569.6414794921875,0.0,0.012305568770638533,5.249377863747733,0.0,5.205564520803378
889.0,1179.9010009765625,0.0,0.0,0.014771148562431335,0.0,1560.5247802734375,0.0,0.01238463819026947,5.187715530395508,0.0,5.237580346017829
890.0,1183.1882149832588,0.000913822025592838,0.0,0.014155781960913114,4.01894046392824e-05,1571.4431675502233,0.0,0.010615404163088118,5.214930602482387,0.0,5.225462874451403
891.0,1186.4754289899554,0.001827644051185676,0.0,0.01354041535939489,8.03788092785648e-05,1582.3615548270088,0.0,0.008846170135906765,5.242145674569266,0.0,5.213345402884977
892.0,1189.7626429966517,0.002741466076778514,0.0,0.01292504875787667,0.0001205682139178472,1593.2799421037946,0.0,0.007076936108725411,5.269360746656146,0.0,5.201227931318551
893.0,1193.0498570033483,0.003655288102371352,0.0,0.012309682156358446,0.0001607576185571296,1604.1983293805804,0.0,0.005307702081544059,5.296575818743024,0.0,5.1891104597521265
894.0,1196.3370710100446,0.00456911012796419,0.0,0.011694315554840224,0.000200947023196412,1615.1167166573662,0.0,0.0035384680543627065,5.323790890829904,0.0,5.176992988185701
895.0,1199.6242850167412,0.005482932153557028,0.0,0.011078948953322003,0.0002411364278356944,1626.0351039341517,0.0,0.0017692340271813524,5.3510059629167825,0.0,5.164875516619275
896.0,1202.9114990234375,0.006396754179149866,0.0,0.01046358235180378,0.0002813258324749768,1636.9534912109375,0.0,0.0,5.378221035003662,0.0,5.152758045052849
897.0,1200.9791957310267,0.0054829321535570285,0.006014894161905561,0.008968784872974669,0.00024113642783569437,1638.00341796875,0.0,0.0,5.363828318459647,0.0,5.146081123925872
898.0,1199.0468924386162,0.00456911012796419,0.012029788323811122,0.007473987394145557,0.00020094702319641198,1639.0533447265625,0.0,0.0,5.349435601915632,0.0,5.139404202798894
899.0,1197.1145891462054,0.0036552881023713523,0.01804468248571668,0.005979189915316445,0.0001607576185571296,1640.103271484375,0.0,0.0,5.3350428853716165,0.0,5.132727281671917
900.0,1195.1822858537946,0.0027414660767785142,0.024059576647622243,0.004484392436487334,0.00012056821391784718,1641.1531982421875,0.0,0.0,5.320650168827602,0.0,5.12605036054494
901.0,1193.2499825613838,0.0018276440511856762,0.030074470809527805,0.0029895949576582235,8.037880927856477e-05,1642.203125,0.0,0.0,5.306257452283587,0.0,5.119373439417963
902.0,1191.3176792689733,0.0009138220255928385,0.03608936497143336,0.0014947974788291109,4.0189404639282385e-05,1643.2530517578125,0.0,0.0,5.291864735739572,0.0,5.112696518290985
903.0,1189.3853759765625,0.0,0.04210425913333893,0.0,0.0,1644.302978515625,0.0,0.0,5.277472019195557,0.0,5.106019597164008
904.0,1186.5716901506696,0.00041253601999155113,0.03608936497143337,0.0015714188505496298,2.0643193108428803e-05,1636.364467075893,0.0,0.0,5.242741448538644,0.0,5.11355147026962
