week,S,I,P,D,E,R,Q,W,H,A,R_t
121.0,80.04047,2.1903236,0.0,0.0,0.0,1952.8527,0.01638493,0.031470507,491.984,0.005038785,0.5718570284402786
122.0,81.20097,0.32701847,0.0,0.0,0.933811,1953.698,0.00465632,0.113312975,492.7386,0.0009772271,0.5801484011531751
123.0,83.31804,1.0707868,0.0,0.0,0.97100115,1956.7305,0.011124939,0.1148673,491.24997,0.0047672875,0.5952740401073452
124.0,84.38762,0.0,0.0,0.0,0.26420498,1961.0294,0.03057146,0.15555508,491.45056,0.0,0.6029157068062924
125.0,88.10782,1.8212028,0.0,0.0,1.666237,1954.1677,0.016363654,0.16905485,491.9045,0.0029745465,0.6294950971195582
126.0,88.43554,2.0514083,0.0,0.0,0.0,1955.6174,0.020374801,0.1245148,492.01132,0.004831092,0.6318365025751156
127.0,82.12598,2.4998004,0.0,0.0,0.78743523,1952.0039,0.00035885972,0.15712129,492.99292,0.0,0.5867572319310446
128.0,88.8495,0.1624981,0.0,0.0,1.7287191,1954.213,0.0,0.10059096,491.98328,0.0009567047,0.6347940637749631
129.0,83.18693,2.3829808,0.0,0.0,1.5268235,1956.5951,0.019761175,0.0,492.76746,0.0012553195,0.5943372626146995
130.0,88.14762,1.4135474,0.0,0.0,0.1358175,1955.8865,0.025346482,0.22097218,490.76184,0.001474379,0.6297794295226253
131.0,82.498955,0.0,0.0,0.0,1.4316756,1952.8342,0.0059675216,0.08709388,489.372,0.001155735,0.5894219982105829
132.0,95.98921,0.67977226,0.0,0.0,0.8727429,1955.2784,0.009203948,0.04020181,490.44455,0.0064059473,0.6858044960824968
133.0,91.394516,2.3699398,0.0,0.0,1.3039194,1955.9456,0.0,0.032455597,491.6005,0.0030849618,0.6529772197486097
134.0,86.32009,0.86348045,0.0,0.0,0.60047305,1954.5109,0.012576407,0.01711632,490.4569,0.005769137,0.6167224876583164
135.0,92.604164,2.8354714,0.0,0.0,0.49002773,1953.9227,0.022923985,0.08012314,491.19217,0.0,0.6616196710955918
136.0,89.46826,0.39272577,0.0,0.0,1.695928,1948.6384,0.0,0.024494084,490.94153,0.00013733612,0.6392148773325481
137.0,99.7844,2.087814,0.0,0.0,0.58276796,1951.9705,0.0,0.018571172,491.19315,0.004226599,0.712919559649159
138.0,94.48273,0.08027532,0.0,0.0,1.4845085,1948.1183,0.015349921,0.19776125,489.23953,0.0,0.6750412779541997
139.0,97.147995,1.1192424,0.0,0.0,0.831805,1953.419,0.005353825,0.07219152,489.15262,0.0017010322,0.6940834952597095
