week,S,I,D,C,A,W,P,V,R_t
237.0,1527.099,0.026177006,4.6457305,0.0,4.1960444,0.20513727,0.0,2666.1384,3.4491796488294226
238.0,1512.5067,0.03180822,4.6563034,0.0,4.1960444,0.20739104,0.0,2668.1865,3.42645624188803
239.0,1531.1587,0.0059140925,4.6956196,0.0,4.1960444,0.20852272,0.0,2717.0332,3.413672664640614
240.0,1488.3943,0.06300716,4.6362553,0.0,4.1960444,0.20515479,0.0,2690.7122,3.373085397654004
241.0,1500.6064,0.028693086,4.6494713,0.0,4.1960444,0.20602246,0.0,2723.2937,3.364760471626991
242.0,1488.7234,0.03427356,4.6108685,0.0,4.1960444,0.20512484,0.0,2727.9863,3.343797597166244
243.0,1500.4451,0.030141544,4.6507063,0.0,4.1960444,0.20670961,0.0,2727.058,3.361532915109343
244.0,1504.963,0.067683466,4.5941744,0.0,4.1960444,0.20444493,0.0,2746.1226,3.352939860992523
245.0,1449.2012,0.07098764,4.6184177,0.0,4.1960444,0.20387541,0.0,2747.7825,3.2702822232239432
246.0,1475.5339,0.0887226,4.6475873,0.0,4.1960444,0.20511998,0.0,2742.7773,3.312873231675384
247.0,1431.0144,0.0,4.6230927,0.0,4.1960444,0.2072338,0.0,2713.4385,3.270186134980507
248.0,1427.772,0.021297313,4.6495533,0.0,4.1960444,0.20596927,0.0,2743.162,3.242065417651759
249.0,1472.5405,0.016739504,4.6556845,0.0,4.1960444,0.20572637,0.0,2703.8718,3.3393441624433198
250.0,1435.4766,0.028579906,4.675864,0.0,4.1960444,0.2064947,0.0,2769.0654,3.2335264237835246
