day,S,I,C,Q,E,R_t
196.0,1826.1934814453125,606.9330444335938,27.527088165283203,103.7171630859375,27.731597900390625,9.415678199857977
197.0,1825.046351841518,607.0495343889509,27.449389048985072,104.13191986083984,27.700227192470006,9.412390626859695
198.0,1823.8992222377233,607.1660243443081,27.37168993268694,104.54667663574219,27.668856484549387,9.409103053861415
199.0,1822.7520926339287,607.2825142996652,27.29399081638881,104.96143341064453,27.63748577662877,9.405815480863133
200.0,1821.6049630301338,607.3990042550223,27.216291700090682,105.37619018554688,27.606115068708146,9.402527907864853
201.0,1820.4578334263392,607.5154942103794,27.13859258379255,105.79094696044922,27.574744360787527,9.39924033486657
202.0,1819.3107038225446,607.6319841657366,27.06089346749442,106.20570373535156,27.543373652866908,9.39595276186829
203.0,1818.16357421875,607.7484741210938,26.98319435119629,106.6204605102539,27.51200294494629,9.392665188870009
204.0,1817.9249790736608,607.9034423828125,27.178207397460938,106.9304940359933,27.416258675711497,9.39025230574144
205.0,1817.6863839285713,608.0584106445312,27.373220443725586,107.2405275617327,27.3205144064767,9.38783942261287
206.0,1817.447788783482,608.21337890625,27.568233489990234,107.5505610874721,27.224770137241908,9.385426539484302
207.0,1817.209193638393,608.3683471679688,27.763246536254883,107.86059461321149,27.129025868007115,9.38301365635573
208.0,1816.9705984933037,608.5233154296875,27.95825958251953,108.17062813895089,27.033281598772323,9.380600773227162
209.0,1816.7320033482142,608.6782836914062,28.15327262878418,108.48066166469029,26.937537329537527,9.378187890098593
210.0,1816.493408203125,608.833251953125,28.348285675048828,108.79069519042969,26.841793060302734,9.375775006970024
211.0,1815.9107666015625,609.0252075195312,29.16575132097517,108.88934871128627,26.86129243033273,9.370801868540704
212.0,1815.328125,609.2171630859375,29.983216966901505,108.98800223214286,26.880791800362722,9.365828730111385
213.0,1814.7454833984375,609.4091186523438,30.800682612827845,109.08665575299945,26.900291170392716,9.360855591682066
214.0,1814.162841796875,609.60107421875,31.618148258754186,109.18530927385602,26.919790540422714,9.355882453252748
215.0,1813.5802001953125,609.7930297851562,32.43561390468052,109.28396279471261,26.939289910452707,9.35090931482343
216.0,1812.99755859375,609.9849853515625,33.25307955060686,109.3826163155692,26.9587892804827,9.34593617639411
217.0,1812.4149169921875,610.1769409179688,34.0705451965332,109.48126983642578,26.978288650512695,9.34096303796479
218.0,1811.731654575893,610.0393676757812,33.36202948434012,109.95032937186105,27.037052971976145,9.341049531338614
219.0,1811.0483921595983,609.9017944335938,32.65351377214704,110.41938890729632,27.09581729343959,9.341136024712437
220.0,1810.3651297433037,609.7642211914062,31.94499805995396,110.88844844273159,27.15458161490304,9.34122251808626
221.0,1809.6818673270088,609.6266479492188,31.23648234776088,111.35750797816685,27.21334593636649,9.341309011460083
222.0,1808.9986049107142,609.4890747070312,30.5279666355678,111.82656751360211,27.27211025782994,9.341395504833907
223.0,1808.3153424944196,609.3515014648438,29.81945092337472,112.29562704903739,27.330874579293386,9.34148199820773
224.0,1807.632080078125,609.2139282226562,29.11093521118164,112.76468658447266,27.389638900756836,9.341568491581553
225.0,1806.8329554966517,609.015886579241,29.674566541399276,112.7626233782087,27.341831752232142,9.339181773669551
226.0,1806.0338309151787,608.8178449358259,30.238197871616908,112.76056017194476,27.29402460370745,9.336795055757548
227.0,1805.2347063337054,608.6198032924107,30.801829201834543,112.7584969656808,27.246217455182755,9.334408337845547
228.0,1804.435581752232,608.4217616489956,31.365460532052175,112.75643375941685,27.198410306658065,9.332021619933546
229.0,1803.6364571707588,608.2237200055804,31.92909186226981,112.7543705531529,27.15060315813337,9.329634902021544
230.0,1802.8373325892858,608.0256783621652,32.492723192487446,112.75230734688895,27.102796009608678,9.327248184109541
231.0,1802.0382080078125,607.82763671875,33.05635452270508,112.750244140625,27.054988861083984,9.32486146619754
232.0,1801.7769949776787,608.1988699776786,33.607255118233816,113.00650351388114,27.07278115408761,9.320146046746757
233.0,1801.5157819475446,608.5701032366071,34.158155713762554,113.26276288713727,27.090573447091238,9.315430627295973
