day,S,I,P,D,E,R,Q,W,H,A,R_t
851.0,80.70360864911761,1.1255778074264526,0.0,0.0,0.5336062908172607,1953.3357064383372,0.009682866761327853,0.07823763149125236,492.4152134486607,0.002717894801337804,0.5765949557047909
852.0,80.86939566476005,0.8593913614749908,0.0,0.0,0.6670078635215759,1953.4564601353236,0.008007351126122686,0.0899294125182288,492.5230069841657,0.0021376722392493063,0.577779437520919
853.0,81.03518268040249,0.593204915523529,0.0,0.0,0.8004094362258911,1953.5772138323102,0.006331835490917521,0.10162119354520525,492.63080051967074,0.0015574496771608081,0.578963919337047
854.0,81.20096969604492,0.32701846957206726,0.0,0.0,0.9338110089302063,1953.6979675292969,0.004656319855712354,0.1133129745721817,492.7385940551758,0.00097722711507231,0.5801484011531751
855.0,81.50340870448521,0.43327109728540697,0.0,0.0,0.9391238859721592,1954.1311907087054,0.005580408261656495,0.11353502103260585,492.5259344918387,0.0015186643161411795,0.5823092067180565
856.0,81.8058477129255,0.5395237249987466,0.0,0.0,0.9444367630141122,1954.564413888114,0.0065044966676006365,0.11375706749303001,492.31327492850164,0.002060101517210049,0.584470012282938
857.0,82.1082867213658,0.6457763527120863,0.0,0.0,0.9497496400560652,1954.9976370675222,0.007428585073544777,0.11397911395345414,492.10061536516463,0.002601538718278919,0.5866308178478195
858.0,82.41072572980607,0.7520289804254259,0.0,0.0,0.955062517098018,1955.430860246931,0.008352673479488919,0.1142011604138783,491.88795580182756,0.0031429759193477885,0.5887916234127009
859.0,82.71316473824638,0.8582816081387655,0.0,0.0,0.9603753941399711,1955.8640834263392,0.009276761885433058,0.11442320687430245,491.67529623849055,0.0036844131204166576,0.5909524289775823
860.0,83.01560374668666,0.9645342358521052,0.0,0.0,0.965688271181924,1956.2973066057477,0.0102008502913772,0.1146452533347266,491.4626366751535,0.004225850321485528,0.5931132345424638
861.0,83.31804275512695,1.070786863565445,0.0,0.0,0.971001148223877,1956.7305297851562,0.01112493869732134,0.11486729979515076,491.2499771118164,0.004767287522554398,0.5952740401073452
862.0,83.4708388192313,0.9178173116275243,0.0,0.0,0.870030266898019,1957.344669886998,0.01390301320602053,0.12067984097770283,491.27863420758933,0.00408624644790377,0.5963657067786233
863.0,83.62363488333565,0.7648477596896036,0.0,0.0,0.769059385572161,1957.9588099888394,0.016681087714719718,0.12649238216025488,491.3072913033622,0.003405205373253141,0.5974573734499016
864.0,83.77643094744002,0.6118782077516828,0.0,0.0,0.668088504246303,1958.5729500906807,0.019459162223418907,0.13230492334280697,491.335948399135,0.0027241642986025128,0.5985490401211797
865.0,83.92922701154436,0.45890865581376217,0.0,0.0,0.5671176229204451,1959.1870901925224,0.022237236732118096,0.138117464525359,491.36460549490795,0.002043123223951885,0.5996407067924578
866.0,84.08202307564872,0.30593910387584144,0.0,0.0,0.466146741594587,1959.8012302943637,0.025015311240817288,0.1439300057079111,491.39326259068076,0.0013620821493012568,0.600732373463736
867.0,84.23481913975307,0.15296955193792072,0.0,0.0,0.36517586026872906,1960.4153703962052,0.027793385749516474,0.14974254689046315,491.42191968645363,0.000681041074650628,0.6018240401350142
868.0,84.38761520385742,0.0,0.0,0.0,0.2642049789428711,1961.0295104980469,0.030571460258215666,0.1555550880730152,491.45057678222656,0.0,0.6029157068062924
869.0,84.91907337733677,0.26017182213919504,0.0,0.0,0.46449526718684603,1960.049255371094,0.028541773690709045,0.15748362509267672,491.5154277256557,0.0004249352329809751,0.6067127625653304
