week,S,I,R,H,W,P,A,Q,R_t
209.0,1344.3821,0.00042984277,0.6029986,1.37087754e-08,0.00014082309,0.0,0.0,1.7778502e-06,5.06170564281843
210.0,1344.3925,0.0,0.5910798,0.0,1.0777414e-05,0.0,0.0,0.0,5.061752140081697
211.0,1344.3965,0.0,0.5881608,0.0,0.0,0.0,0.0014472253,0.0,5.061757685502753
212.0,1344.3982,0.0,0.58176214,1.7704298e-08,0.0,0.0,0.0,0.0,5.0617872158795265
213.0,1344.4032,0.0,0.57782936,1.7322707e-08,9.5585805e-05,0.0,7.9161185e-07,0.0,5.0618020219048
214.0,1344.4098,0.0,0.57600987,1.13077725e-08,0.0,0.0,0.0013767352,0.0,5.061803701863407
215.0,1344.4144,0.00014482137,0.5738449,0.0,0.0,0.0,0.0013803487,7.936615e-06,5.061811268628115
216.0,1344.4211,0.0,0.5689511,0.0,0.00014502351,0.0,0.00044145127,1.1295792e-05,5.061833763070412
217.0,1344.4192,0.0006812788,0.55894876,0.0,0.00013200424,0.0,0.0,2.3427077e-05,5.061870455465471
218.0,1344.4257,0.00031469757,0.5622731,1.8495638e-09,4.9925195e-05,0.0,0.0,0.0,5.061859422259699
219.0,1344.4304,0.0,0.556998,1.0924263e-09,0.0,0.0,0.0012787478,3.3208205e-05,5.061875529288391
220.0,1344.4332,0.0007259936,0.5520273,0.0,0.0001272878,0.0,0.0,0.0,5.061896446375877
221.0,1344.4429,0.0,0.55052084,0.0,9.9838064e-05,0.0,0.0,0.0,5.061904863113809
222.0,1344.4429,0.0,0.5437912,0.0,0.00022648316,0.0,0.0,5.3687586e-07,5.061930188415724
223.0,1344.4496,0.0,0.53761804,1.1781691e-08,0.0,0.0,0.0,0.0,5.061953433526608
224.0,1344.4575,0.0013122811,0.53688294,6.9764607e-09,0.0,0.0,0.0,3.1985532e-08,5.061951273133156
225.0,1344.4506,0.0,0.53113914,1.0026171e-08,0.0,0.0,0.0,3.403928e-05,5.06197769080711
226.0,1344.4589,0.0,0.52953476,0.0,0.0,0.0,0.00018038835,1.7519939e-06,5.061983184009222
227.0,1344.4575,0.0,0.52398515,9.563746e-09,0.0,0.0,0.00012014608,3.4061627e-06,5.0620042890382555
228.0,1344.4695,0.0,0.5163328,0.0,7.46008e-05,0.0,0.0,0.0,5.062033572073172
229.0,1344.4653,0.0,0.51961,1.418119e-09,3.7063055e-05,0.0,0.0,0.0,5.062021231946978
230.0,1344.4768,0.0,0.5187364,0.0,0.0001189444,0.0,0.0,3.083716e-06,5.062024524786103
231.0,1344.4752,0.0,0.5027792,2.172105e-08,0.00011317564,0.0,0.0012901175,7.1342643e-06,5.062079708982543
232.0,1344.4867,0.00058853487,0.50639725,0.0,0.00011135631,0.0,0.00048416547,1.1034014e-05,5.062066911762696
233.0,1344.4769,0.0,0.4973687,0.0,9.33189e-05,0.0,0.0,4.522668e-05,5.0621047871918945
234.0,1344.4873,0.0,0.49678755,0.0,0.0,0.0,0.0,0.0,5.062107159110543
235.0,1344.4995,0.00025728595,0.4944791,0.0,0.0,0.0,0.0,4.991572e-06,5.0621148772237365
