week,S,I,D,H,C,Q,E,R,R_t
237.0,5.4484253,0.0,1522.2792,0.9131675,54.579025,0.0,0.05222517,2460.8972,0.011340216939300407
238.0,8.043642,0.44732043,1552.5446,0.4394756,53.1623,0.0,12.652721,2404.351,0.016741836899246538
239.0,1.4863284,1.3775353,1528.5765,8.627854,52.21874,0.0,0.1598575,2435.3103,0.003093606979637462
240.0,0.0,0.0746487,1520.105,1.2870178,52.844498,0.0,0.659731,2434.1667,0.0
241.0,2.8550518,7.4063454,1503.3324,0.040084437,52.526016,0.0,10.327679,2415.305,0.005942433589207412
242.0,13.833811,1.3796183,1549.6581,0.69573003,53.825554,0.0,4.3233504,2410.4365,0.028793350016377006
243.0,3.069363,0.09490548,1548.3417,13.811306,51.815887,0.0,0.4422425,2432.2961,0.006388496112822684
244.0,0.0,9.454041,1537.4993,0.2635864,52.115047,0.0,6.222788,2435.9365,0.0
245.0,1.0593375,0.5761638,1536.9087,7.9133162,51.444145,0.0,0.17978117,2389.6853,0.002204878708237523
246.0,3.7534544,4.5187616,1514.4933,0.25131,51.184856,0.0,18.931913,2460.5618,0.007812346793633372
247.0,42.4412,8.121717,1543.1068,1.0571442,52.365715,0.0,4.372375,2398.1628,0.08833606145614048
248.0,2.9022202,1.7737957,1559.921,5.5091815,52.905945,0.0,0.048960894,2409.5977,0.006040609457760567
